205247	205071  agreement
205247	9211309	disagreement
205247	9303230	disagreement
205247	9303270	disagreement
205247	9406224	disagreement
205247	9408384	disagreement
205247	9410231	Disagreement
205247	9501394	disagreement
205247	9506467	agreement
205247	9507366	agreement
205247	9604387	disagreement
205247	9707436	agreement
205247	9801271	agreement
205247	9806292	disagreement
205247	9807344	disagreement
205247	9810442	disagreement
205247	9812221	agreement
205247	9910277	disagreement
205247	9911293	agreement
205247	9911323	agreement
9406224	9207279	Neutral
9406224	9210235	disagreement
9707436	9311269	disagreement
9707436	9311340	disagreement
9707436	9312272	disagreement
9707436	9403306	disagreement
9707436	9408275	agreement
9707436	9411241	disagreement
9707436	9503214	disagreement
9707436	9507366	disagreement
9707436	9511326	disagreement
9707436	9606212	disagreement
9707436	9606237	agreement
9707436	9606386	disagreement
9707436	9608251	Disagreement
9707436	9611286	disagreement
9707436	9612261	disagreement
9707436	9703293	agreement
9707436	9705206	agreement
202023	2102	agreement
202023	3187	disagreement
202023	5009	agreement
202023	5185	disagreement
202023	6251	agreement
202023	8120	agreement
202023	10348	agreement
202023	12333	disagreement
202023	101122	disagreement
202023	103028	agreement
202023	103251	disagreement
202023	104051	agreement
202023	107030	agreement
202023	107133	disagreement
202023	110283	disagreement
202023	112021	disagreement
202023	9401241	disagreement
202023	9403338	agreement
202023	9406245	disagreement
202023	9409329	agreement
202023	9501407	disagreement
202023	9509201	disagreement
202023	9509410	disagreement
202023	9510309	agreement
202023	9601365	disagreement
202023	9602439	agreement
202023	9604387	agreement
202023	9606383	disagreement
202023	9608233	disagreement
202023	9703350	disagreement
202023	9703442	disagreement
202023	9705417	agreement
202023	9709364	disagreement
202023	9709397	disagreement
202023	9712542	neutral
202023	9802267	neutral
202023	9803290	disagreement
202023	9803405	Neutral
202023	9806273	disagreement
202023	9806292	agreement
202023	9812221	disagreement
202023	9903448	disagreement
202023	9910277	neutral
9902290	9304295	disagreement
9902290	9309293	disagreement
9902290	9311222	disagreement
9902290	9402266	disagreement
9902290	9403306	disagreement
9902290	9405342	disagreement
9902290	9407229	neutral
9902290	9408253	disagreement
9902290	9501277	disagreement
9902290	9501394	agreement
9902290	9503455	disagreement
9902290	9505242	agreement
9902290	9506467	disagreement
9902290	9508343	disagreement
9902290	9511324	disagreement
9902290	9602206	disagreement
9902290	9603346	disagreement
9902290	9606211	agreement
9902290	9606386	agreement
9902290	9702431	disagreement
9902290	9706494	disagreement
9902290	9707436	agreement
9902290	9712376	disagreement
9902290	9801365	disagreement
9902290	9807411	disagreement
9902290	9809250	agreement
9902290	9812513	neutral
108104	2286	disagreement
108104	4266	disagreement
108104	11356	disagreement
108104	12125	disagreement
108104	102301	disagreement
108104	102323	disagreement
108104	103125	disagreement
108104	103264	disagreement
108104	104041	disagreement
108104	106166	disagreement
108104	107039	disagreement
108104	9207279	disagreement
108104	9306242	disagreement
108104	9308222	disagreement
108104	9311340	disagreement
108104	9406417	agreement
108104	9411298	disagreement
108104	9510246	disagreement
108104	9607394	disagreement
108104	9703259	disagreement
108104	9808255	disagreement
108104	9812538	disagreement
108104	9909334	disagreement
108104	9911255	disagreement
9911323	9303230	disagreement
9911323	9307201	disagreement
9911323	9408384	disagreement
9911323	9409419	disagreement
9911323	9412322	disagreement
9911323	9507378	agreement
9911323	9604387	disagreement
9911323	9607383	disagreement
9911323	9608441	disagreement
9911323	9702359	disagreement
9911323	9705271	disagreement
9911323	9705307	agreement
9911323	9706235	disagreement
9911323	9706275	disagreement
9911323	9706554	disagreement
9911323	9803258	disagreement
9911323	9803432	disagreement
9911323	9810442	disagreement
9911323	9903448	disagreement
9911323	9906296	agreement
9911323	9907447	agreement
9911323	9909248	agreement
9911323	9910202	disagreement
9911323	9911293	agreement
9303230	9205227	agreement
9506467	9305262	agreement
9506467	9306226	agreement
9506467	9405233	agreement
9506467	9406224	disagreement
9506467	9501394	disagreement
9506467	9501395	agreement
9506467	9505242	agreement
9506467	9506206	agreement
9803463	9303320	Neutral
9803463	9402253	agreement
9803463	9403338	Disagreement
9803463	9501394	disagreement
9803463	9507366	disagreement
9803463	9507368	disagreement
9803463	9606215	disagreement
9803463	9606281	agreement
9803463	9609480	disagreement
9803463	9703293	disagreement
9803463	9707401	agreement
9803463	9707402	disagreement
9803463	9707462	Neutral
9803463	9803218	disagreement
9812221	9306309	disagreement
9812221	9308265	disagreement
9812221	9308271	disagreement
9812221	9308365	disagreement
9812221	9401241	disagreement
9812221	9402253	disagreement
9812221	9405420	agreement
9812221	9407291	disagreement
9812221	9501395	agreement
9812221	9508258	disagreement
9812221	9511419	disagreement
9812221	9512435	Disagreement
9812221	9606281	disagreement
9812221	9612458	Neutral
9812221	9702276	disagreement
9812221	9703320	disagreement
9812221	9703358	disagreement
9812221	9705417	agreement
9812221	9707425	agreement
9812221	9709364	disagreement
9812221	9709397	neutral
9812221	9712542	disagreement
9812221	9802267	neutral
