nodes,community_labels,clustering_labels_5,clustering_labels_10,clustering_labels_20,clustering_labels_50,clustering_labels_100
10002,8,2,5,5,39,94
10003,1,1,2,9,13,53
10004,2,0,1,14,28,16
10005,3,4,4,10,11,70
10006,1,1,2,4,31,64
10007,0,4,4,10,27,65
10008,0,4,4,15,45,4
10009,2,1,2,9,31,2
1001,8,4,9,18,17,47
10010,9,0,8,4,30,91
10011,0,3,6,19,20,5
10012,8,1,0,4,24,64
10013,0,1,0,2,33,55
10014,6,2,5,1,23,14
10015,5,1,3,6,8,23
10016,5,4,9,18,6,13
10017,8,3,8,0,15,62
10018,1,0,1,15,22,72
10019,13,0,3,6,28,95
1002,1,2,5,1,23,14
10020,13,1,0,2,37,98
10021,1,3,6,19,20,9
10022,9,1,2,17,7,45
10023,12,1,0,5,24,60
10024,0,3,6,19,4,82
10025,1,3,0,11,21,60
10026,2,2,5,17,7,3
10027,7,2,8,5,49,91
10028,4,3,4,7,5,24
10029,5,2,5,5,1,55
1003,0,0,3,11,28,78
10030,5,0,1,14,29,77
10031,8,1,2,9,16,83
10032,10,4,4,18,11,70
10033,7,3,6,11,3,63
10034,11,1,2,9,31,37
10035,9,3,6,11,3,41
10036,1,1,2,17,31,2
10037,1,4,9,1,9,51
10039,7,1,0,2,42,37
1004,7,0,3,6,22,16
10040,6,2,0,11,5,7
10041,5,1,0,4,49,91
10042,0,3,8,19,20,90
10043,7,3,8,7,32,24
10044,8,3,4,10,27,65
10045,8,0,3,13,22,75
10046,4,1,2,9,31,87
10047,7,4,1,14,12,40
10048,10,3,6,11,4,26
10049,4,3,6,19,11,90
1005,1,0,3,6,14,16
10050,7,3,6,10,11,90
10051,9,1,2,17,33,45
10052,8,2,4,10,41,92
10053,8,0,3,6,30,11
10054,2,1,0,4,24,60
10055,8,3,6,10,5,63
10056,8,4,9,18,23,51
10057,8,4,4,1,17,89
10058,0,1,2,9,31,2
10059,5,2,5,1,39,22
1006,2,3,7,8,36,57
10060,5,2,5,7,32,15
10061,6,4,4,18,19,6
10062,5,2,2,13,16,71
10063,6,2,5,13,1,55
10064,7,3,8,3,35,49
10065,2,3,6,11,4,82
10066,9,1,2,17,14,38
10067,1,4,9,12,10,21
10068,1,1,3,6,14,38
10069,9,4,9,18,23,51
1007,2,3,6,11,21,26
10070,8,0,3,6,49,1
10071,0,1,2,17,7,45
10072,8,3,8,7,49,91
10073,0,2,4,10,41,92
10074,0,1,0,11,21,99
10075,8,1,2,9,13,87
10076,7,4,9,18,19,34
10077,2,0,3,6,14,16
10078,0,3,4,10,41,92
10079,2,1,2,17,44,2
1008,5,0,1,16,43,59
10080,8,1,2,9,33,83
10081,1,2,5,5,39,94
10082,6,3,6,19,20,9
10083,4,4,4,18,32,32
10084,7,3,0,4,37,98
10085,7,2,4,10,1,15
10086,1,0,1,14,29,77
10087,2,0,3,6,30,11
